cellid,time,type,Layer
4319,700.2,inh,0
5269,702.3,inh,0
4739,703.9,inh,0
4689,708.5,inh,0
4679,708.8,inh,0
4259,709.4,inh,0
5039,709.4,inh,0
4779,709.7,inh,0
4159,711.3,inh,0
4949,712.5,inh,0
5259,713.7,inh,0
4579,714.9,inh,0
4939,717.8,inh,0
4339,719.4,inh,0
4909,719.4,inh,0
4309,720.1,inh,0
4819,721.1,inh,0
4859,721.6,inh,0
5069,721.7,inh,0
4529,721.8,inh,0
4659,722.0,inh,0
5259,722.0,inh,0
5299,722.1,inh,0
5029,722.2,inh,0
4689,722.4,inh,0
5269,722.7,inh,0
4679,723.4,inh,0
4599,723.6,inh,0
4649,723.6,inh,0
4509,724.0,inh,0
4589,725.1,inh,0
4459,727.6,inh,0
4499,729.4,inh,0
4979,734.2,inh,0
5029,734.7,inh,0
4409,735.0,inh,0
4909,735.1,inh,0
4249,735.2,inh,0
4639,735.5,inh,0
4679,735.5,inh,0
4159,735.6,inh,0
5069,736.4,inh,0
4529,736.5,inh,0
4649,736.5,inh,0
4579,736.7,inh,0
4479,737.0,inh,0
5259,737.0,inh,0
4169,737.4,inh,0
4279,741.5,inh,0
4819,745.1,inh,0
4689,745.3,inh,0
4949,746.7,inh,0
5219,746.9,inh,0
4439,747.8,inh,0
4869,748.2,inh,0
4909,748.2,inh,0
4859,748.5,inh,0
5239,748.7,inh,0
4589,749.2,inh,0
4459,749.5,inh,0
4639,749.6,inh,0
5279,750.4,inh,0
4529,755.1,inh,0
4189,758.1,inh,0
5269,758.4,inh,0
5029,759.3,inh,0
4369,759.8,inh,0
5169,759.8,inh,0
4789,759.9,inh,0
4539,760.3,inh,0
4909,760.9,inh,0
4249,761.7,inh,0
4689,761.7,inh,0
5229,761.9,inh,0
4679,768.9,inh,0
4319,769.3,inh,0
5279,771.2,inh,0
5009,771.5,inh,0
4689,772.8,inh,0
4659,772.9,inh,0
4919,772.9,inh,0
4169,773.0,inh,0
4649,773.2,inh,0
4779,773.3,inh,0
4579,773.4,inh,0
4909,773.6,inh,0
4249,774.0,inh,0
4519,774.2,inh,0
4869,774.5,inh,0
4559,776.4,inh,0
5269,777.5,inh,0
5259,780.4,inh,0
4599,783.1,inh,0
5239,783.9,inh,0
4589,784.1,inh,0
4379,784.6,inh,0
4679,784.9,inh,0
4939,784.9,inh,0
5159,785.1,inh,0
4689,785.2,inh,0
5069,785.6,inh,0
4479,785.9,inh,0
4409,786.1,inh,0
4579,787.0,inh,0
5219,787.4,inh,0
4979,792.1,inh,0
4269,793.3,inh,0
4159,794.5,inh,0
4789,795.1,inh,0
4669,795.6,inh,0
4809,797.4,inh,0
4989,797.6,inh,0
4819,797.9,inh,0
4219,798.0,inh,0
5029,798.5,inh,0
4169,802.6,inh,0
4179,804.4,inh,0
4689,806.6,inh,0
4649,806.9,inh,0
4319,807.7,inh,0
4279,808.2,inh,0
4379,808.4,inh,0
5279,808.8,inh,0
4709,808.9,inh,0
4939,808.9,inh,0
5239,809.4,inh,0
4249,810.1,inh,0
4579,810.1,inh,0
4679,811.8,inh,0
5219,812.1,inh,0
4909,812.7,inh,0
4949,812.7,inh,0
5229,812.9,inh,0
4309,815.0,inh,0
4529,815.8,inh,0
4559,819.0,inh,0
4589,820.4,inh,0
4799,820.8,inh,0
4879,821.3,inh,0
4219,821.6,inh,0
4539,821.6,inh,0
5219,821.9,inh,0
5069,822.2,inh,0
5049,822.4,inh,0
4989,822.6,inh,0
4689,823.6,inh,0
5289,824.6,inh,0
4469,824.7,inh,0
4579,826.3,inh,0
4679,828.5,inh,0
4519,832.1,inh,0
4659,832.4,inh,0
4979,834.3,inh,0
4169,834.5,inh,0
5029,834.6,inh,0
4649,835.3,inh,0
4689,835.5,inh,0
4909,836.1,inh,0
4479,836.3,inh,0
5169,843.7,inh,0
5009,843.9,inh,0
4869,844.0,inh,0
5259,844.3,inh,0
4169,845.4,inh,0
4909,845.4,inh,0
4569,845.8,inh,0
4669,846.0,inh,0
4179,846.4,inh,0
4949,846.4,inh,0
4859,846.5,inh,0
4269,847.5,inh,0
4679,848.3,inh,0
4659,848.6,inh,0
5029,848.6,inh,0
4379,848.7,inh,0
4789,848.8,inh,0
5219,850.6,inh,0
4339,853.0,inh,0
4809,856.5,inh,0
4149,857.5,inh,0
5299,858.4,inh,0
4649,858.9,inh,0
4249,859.6,inh,0
4659,859.9,inh,0
4959,859.9,inh,0
4599,860.1,inh,0
5289,864.0,inh,0
4979,868.3,inh,0
4529,868.8,inh,0
4909,869.0,inh,0
5029,869.1,inh,0
5279,869.2,inh,0
4269,869.4,inh,0
5169,869.9,inh,0
4639,870.2,inh,0
4309,870.4,inh,0
5259,871.1,inh,0
4379,871.3,inh,0
5139,871.3,inh,0
4969,871.9,inh,0
4559,873.9,inh,0
4689,881.4,inh,0
4909,882.0,inh,0
4329,882.2,inh,0
4679,882.4,inh,0
4919,882.4,inh,0
4819,882.7,inh,0
5219,882.7,inh,0
4249,883.0,inh,0
4169,883.2,inh,0
5029,883.5,inh,0
5279,883.6,inh,0
4649,884.8,inh,0
4359,884.9,inh,0
4519,885.4,inh,0
4179,887.1,inh,0
5269,888.1,inh,0
4339,893.3,inh,0
4649,893.8,inh,0
4879,894.2,inh,0
4789,894.7,inh,0
5029,894.9,inh,0
4909,895.1,inh,0
4159,895.8,inh,0
4249,895.9,inh,0
4479,896.3,inh,0
4529,896.3,inh,0
5109,896.3,inh,0
5159,896.5,inh,0
5199,896.5,inh,0
4269,896.8,inh,0
4869,897.2,inh,0
4659,897.7,inh,0
4289,897.8,inh,0
4979,898.1,inh,0
4639,898.5,inh,0
5269,899.1,inh,0
4259,900.8,inh,0
4939,900.8,inh,0
4909,908.1,inh,0
4659,910.5,inh,0
